project,year,fellow,region,match,corrected
"
              To investigate the feasibility of establishing an Australian Centre for River Restoration based on overseas models and apply to the A.C.T. as a pilot project - Singapore, U.K., Italy
",2006,"LOVETT, Siwan",UK,yes,UK
"
              To investigate the feasibility of establishing an Australian Centre for River Restoration based on overseas models and apply to the A.C.T. as a pilot project - Singapore, U.K., Italy
",2006,"LOVETT, Siwan",Italy,yes,Italy
"
              To undertake research in major museums and galleries that engage techniques and practitioners to develop innovative, fun experiential-based learning programs for children, youth at risk and seniors - USA, U.K., France
",2006,"LOVETT, Virginia",USA,yes,USA
"
              To undertake research in major museums and galleries that engage techniques and practitioners to develop innovative, fun experiential-based learning programs for children, youth at risk and seniors - USA, U.K., France
",2006,"LOVETT, Virginia",UK,yes,UK
"
              To undertake research in major museums and galleries that engage techniques and practitioners to develop innovative, fun experiential-based learning programs for children, youth at risk and seniors - USA, U.K., France
",2006,"LOVETT, Virginia",France,yes,France
"
              The Blakeney Millar Churchill Fellowship to investigate rehabilitation techniques for restoring steep, high altitude areas with catchment protection and conservation of natural landscapes as the main focus - USA, Chile, Argentina, Finland, France
",2006,"MacPHEE, Elizabeth",USA,yes,USA
"
              The Blakeney Millar Churchill Fellowship to investigate rehabilitation techniques for restoring steep, high altitude areas with catchment protection and conservation of natural landscapes as the main focus - USA, Chile, Argentina, Finland, France
",2006,"MacPHEE, Elizabeth",Chile,yes,Chile
"
              The Blakeney Millar Churchill Fellowship to investigate rehabilitation techniques for restoring steep, high altitude areas with catchment protection and conservation of natural landscapes as the main focus - USA, Chile, Argentina, Finland, France
",2006,"MacPHEE, Elizabeth",Argentina,yes,Argentina
"
              The Blakeney Millar Churchill Fellowship to investigate rehabilitation techniques for restoring steep, high altitude areas with catchment protection and conservation of natural landscapes as the main focus - USA, Chile, Argentina, Finland, France
",2006,"MacPHEE, Elizabeth",Finland,yes,Finland
"
              The Blakeney Millar Churchill Fellowship to investigate rehabilitation techniques for restoring steep, high altitude areas with catchment protection and conservation of natural landscapes as the main focus - USA, Chile, Argentina, Finland, France
",2006,"MacPHEE, Elizabeth",France,yes,France
"
              To study Community Adult Education based settlement programmes for newly arrived African women on Humanitarian and Women at Risk visas - Canada, USA, New Zealand, Norway, Denmark
",2006,"MAHER, Sara",Canada,yes,Canada
"
              To study Community Adult Education based settlement programmes for newly arrived African women on Humanitarian and Women at Risk visas - Canada, USA, New Zealand, Norway, Denmark
",2006,"MAHER, Sara",USA,yes,USA
"
              To study Community Adult Education based settlement programmes for newly arrived African women on Humanitarian and Women at Risk visas - Canada, USA, New Zealand, Norway, Denmark
",2006,"MAHER, Sara",New Zealand,yes,New Zealand
"
              To study Community Adult Education based settlement programmes for newly arrived African women on Humanitarian and Women at Risk visas - Canada, USA, New Zealand, Norway, Denmark
",2006,"MAHER, Sara",Norway,yes,Norway
"
              To study Community Adult Education based settlement programmes for newly arrived African women on Humanitarian and Women at Risk visas - Canada, USA, New Zealand, Norway, Denmark
",2006,"MAHER, Sara",Denmark,yes,Denmark
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to identify international best practice in science and technology for primary students in order to revise the current syllabus in New South Wales - Canada, USA, U.K.
",2006,"MALONE, Margaret",Canada,yes,Canada
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to identify international best practice in science and technology for primary students in order to revise the current syllabus in New South Wales - Canada, USA, U.K.
",2006,"MALONE, Margaret",USA,yes,USA
