description,year,name,region,on_churchill,on_map,region_edited
"
              To undertake consultation with Aboriginal/Indigenous communities on the implementation of a Doula training program for Aboriginal women to provide cultural support to Aboriginal women who are birthing away off country/traditional lands - Canada, USA, New 
            ",2018,"Gliddon, Janinne",New,yes,no,New Zealand
"
              To examine leading dispute resolution practices upon cross-cultural family breakdown - Singapore, Malaysia, Hong Kong, Japan, Canada
            ",2017,"Barr, Stuart ",Hong Kong,yes,no,China
"
              To investigate early intervention in mental illnesses for serving police and peer support for former police employees - USA, Canada, UK, Hong Kong
            ",2017,"Dean, Greg",Hong Kong,yes,no,China
"
              To research new, practical methods to fight law enforcement corruption by organised crime - Hong Kong, Austria, Lithuania, Estonia, Finland
            ",2017,"Nixon, Carolyn",Hong Kong,yes,no,China
"
              To better understand composers living and working from islands or isolated cities - Iceland, USA, New Zealand


 
            ",2017,"Stevenson, Dean",NA,yes,no,Unknown
"
              To learn the latest genomic analytical tools for genetic diagnosis of rare neuromuscular disorders - USA

            ",2017,"Waddell, Leigh",NA,yes,no,Unknown
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to learn how to make 18th Century clarinets for Australian clarinettists - UK, The Netherlands
            ",2016,"Doyle, Andrew",The Netherlands,yes,no,Netherlands
"
              To research the effects of vehicle lane changing on freeway capacity and road safety - France, Norway, Sweden, Netherlands, Belgium, Germany, Italy, Greece and Israel.
            ",2016,"Gaffney, John",Greece and Israel,yes,no,Greece
"
              To research the effects of vehicle lane changing on freeway capacity and road safety - France, Norway, Sweden, Netherlands, Belgium, Germany, Italy, Greece and Israel.
            ",2016,"Gaffney, John",Greece and Israel,yes,no,Israel
"
              To study both age old and key new techniques in vegetable and legume fermentation - Denmark, Italy, China, Korea, Japan
            ",2016,"James, Adam",Korea,yes,no,South Korea
"
              To research initiatives for reducing recidivism of (ex)offenders through supported reintegration and rehabilitation - Singapore, Scotland, Canada, USA
            ",2016,"Kelly, Louise",Scotland,yes,no,UK
"
              To enhance understanding of Asian triad societies and the influence on Australian illicit drug markets - Hong Kong, Taiwan
            ",2016,"Pargin, Giles",Hong Kong,yes,no,China
"
              The Dorothy and Brian Wilson Churchill Fellowship to research innovations for improving the lives of victims of serious violence committed by people with a mental illness - USA, Canada, UK, The Netherlands
            ",2016,"Power, Michael",The Netherlands,yes,no,Netherlands
"
              To learn the traditional arts and language once practiced on Norfolk Island - Pitcairn Island, Tahiti
            ",2016,"Snell, Damien",Pitcairn Island,yes,no,UK
"
              To learn the traditional arts and language once practiced on Norfolk Island - Pitcairn Island, Tahiti
            ",2016,"Snell, Damien",Tahiti,yes,no,French Polynesia
"
              To research innovative and successful artists residency programs to apply in an Australian context - Canada, USA, Hong Kong, Germany, Netherlands, UK
            ",2015,"Crimmings, Emma",Hong Kong,yes,no,China
"
              To accelerate the creation, connection and application of digital city technology for citizens - Hong Kong, China, South Korea, Spain, Denmark, Sweden, USA, Peru

            ",2015,"Dixon, Brook",NA,yes,no,Unknown
"
              The Dame Roma Mitchell Churchill Fellowship to undertake study in contemporary music composition, performance and ensemble directing - USA, Holland, Denmark, Germany, UK, Norway, Sweden
            ",2015,"Karlen Gelli, Rafael",Holland,yes,no,Netherlands
"
              Join us in Sydney from 9-11 October 2015 for the 50th Anniversary National Convention of Churchill Fellows. Visit our events page to link to the Convention Website.
            ",2015,"of Churchill Fellows, National Convention",NA,yes,no,Unknown
"
              To investigate innovative programs of raising awareness, management and solutions to plastic pollution - USA, Netherlands, UK, Hong Kong
            ",2015,"Prince-Ruiz, Rebecca",Hong Kong,yes,no,China
"
              To investigate specialist DNA techniques for the identification of compromised human remains - USA, Netherlands, Czech Republic, Austria, Slovenia, Bosnia & Herzegovina
            ",2015,"Ward, Jodie",Bosnia & Herzegovina,yes,no,Bosnia and Herzegovina
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate medical research commercialisation & innovation initiatives - USA, Germany & Singapore
            ",2014,"Brew, Nadine",Germany & Singapore,yes,no,Germany
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate medical research commercialisation & innovation initiatives - USA, Germany & Singapore
            ",2014,"Brew, Nadine",Germany & Singapore,yes,no,Singapore
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
            ",2014,"Button, Brenda ",USA & Canada,yes,no,USA
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
            ",2014,"Button, Brenda ",USA & Canada,yes,no,Canada
"
              To investigate cultural perspectives on sustainable social and emotional strategies that can be implemented by secondary school teachers to support mental health and wellness of gifted adolescents - Singapore, Hong Kong, UK, Slovenia, USA
            ",2014,"Furphy , Valerie",Hong Kong,yes,no,China
"
              To investigate social housing waiting lists to prioritise assistance for homeless people - Singapore, Hong Kong, USA, UK
            ",2014,"Georgopoulos, Debbie",Hong Kong,yes,no,China
"
              To investigate planning policies that deliver positive social outcomes in hyper-dense, high-rise residential environments - USA, Canada, Hong Kong, Japan, South Korea
            ",2014,"Hodyl, Leanne ",Hong Kong,yes,no,China
"
              To investigate how public art galleries construct and represent national identity - USA, Hong Kong, Singapore
            ",2014,"Russ, Vanessa",Hong Kong,yes,no,China
"
              The Park Family Churchill Fellowship to study programs which enhance the work readiness of young people leaving school - UK, France, Greece, Hong Kong
            ",2013,"Balcomb, Ian",Hong Kong,yes,no,China
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to explore the use of Participatory Media toolkits by global Indigenous communities in bridging cultural, political and digital divides, conserve cultural diversity and build community leadership 
            ",2013,"Davenport, Carly",NA,yes,no,Unknown
"
              To explore innovative models for scaling social initiatives to maximise social impact - Singapore, Hong Kong, USA, UK, Canada
            ",2013,"McCulloch, Brodie",Hong Kong,yes,no,China
"
              To review the delivery of counselling support for women undergoing new prenatal technology - UK, USA, Hong Kong
            ",2013,"McGrath, Pauline",Hong Kong,yes,no,China
"
              To research ways in which isolated artists work to create strong and tourable theatre - Turkey, Germany, UK, Ireland, Columbia
            ",2013,"O'Donnell, Angela",Columbia,yes,no,Colombia
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to discover new ways to develop and deliver multidisciplinary falls prevention intervention that can effectively protect older Australians from falls after discharge from hospital - UK, Netherland
            ",2013,"Shkuratova, Nataliya",Netherland,yes,no,Netherlands
"
              To investigate, develop and implement aged care dementia immersive sensory art projects - Hong Kong, Japan, UK
            ",2013,"Soropos, Efterpi",Hong Kong,yes,no,China
"
              To investigate strategies for overcoming poor perception and improving the uptake of home-based dialysis therapies - Hong Kong, Canada
            ",2012,"Chow, Josephine",Hong Kong,yes,no,China
"
              To explore the development of improved fire investigation tools by incorporating the latest developments in fire research - China, Hong Kong, Sweden, USA, Canada
            ",2012,"Cook, Morgan",Hong Kong,yes,no,China
"
              To facilitate the establishment of a centre for natural resources arbitration in Australia - France, Switzerland, UK, USA

            ",2012,"Dharmananda, Kanaga",NA,yes,no,Unknown
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
            ",2012,"Evans, Duncan",Ascension/St Helena Island,yes,no,UK
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
            ",2012,"Evans, Duncan",Easter Island,yes,no,Chile
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
            ",2012,"Evans, Duncan",Tahiti,yes,no,French Polynesia
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to undertake an investigation of piccolo performance and teaching - Hong Kong, Germany, UK, USA
            ",2012,"Hudson, Lloyd",Hong Kong,yes,no,China
"
              The Vincent Fairfax Ethics in Leadership Foundation Churchill Fellowship to visit Microsoft Worldwide schools to investigate innovative leadership, ICT and global learning - Korean Republic, Singapore, Malaysia
            ",2012,"Turner, Elisabeth",Korean Republic,yes,no,South Korea
"
              The Churchill Fellows' Association of Victoria Churchill Fellowship to investigate methods for sustaining production and creative culture in the Australian animation industry - Japan, USA, Canada, UK, France, Germany, Hong Kong
            ",2011,"BAKER, Leo",Hong Kong,yes,no,China
"
              To develop strategies for composing with environmental sound in fixed-media and live performance - Arctic Circle, Canada, USA
            ",2011,"BLINKHORN, Daniel ",Arctic Circle,yes,no,Unknown
"
              To study community cultural engagement - UK, Ireland, Austria Portugal, USA
            ",2011,"MURRAY, Glen",Austria Portugal,yes,no,Austria
"
              To study community cultural engagement - UK, Ireland, Austria Portugal, USA
            ",2011,"MURRAY, Glen",Austria Portugal,yes,no,Portugal
"
              The Australian Biological Resources Study Churchill Fellowship to examine Australian specimens which will result in a large number of new species descriptions of frogs and reptiles, particularly geckos - UK, USA, West Indies
            ",2010,"DOUGHTY, Paul",West Indies,yes,no,Unknown
"
              The Nancy Fairfax Churchill Fellowship to investigate strategies that contribute to creating a classroom environment where school aged children who have experienced emergencies and disasters are able to maintain their social, emotional and academic trajec
            ",2010,"ROBERTS, Michelle",NA,yes,no,Unknown
"
              To study the origins of patterns and their relation to 3Dimensional spaces and objects - Japan, China, Hong Kong, Turkey, UK
            ",2010,"WATERSON, Christina",Hong Kong,yes,no,China
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
            ",2009,"CONHEADY, Monique",Hong Kong,yes,no,China
"
              To study veterinary practice, facilities and protocols in open range zoos - USA, South Africa, UK, Portugal, Japan, Hong Kong, Cambodia
            ",2009,"SMITH, Ian",Hong Kong,yes,no,China
"
              To investigate strategies to engage new generations in the performing arts - France, U.K., USA, Hong Kong
            ",2008,"ARMSTRONG-SMITH, Katherine",Hong Kong,yes,no,China
"
              To compare and evaluate electronic crime management models - Singapore, Hong Kong, U.K., USA
            ",2008,"TAYLOR, Duncan",Hong Kong,yes,no,China
"
              The Lamington National Park Churchill Fellowship to study the conservation of small and threatened wildlife populations - U.K., Channel Islands, USA
            ",2007,"BENNISON, Kerrie",Channel Islands,yes,no,UK
"
              To investigate the use of Spatial Technology for implementation in schools - Hong Kong, USA, Canada, U.K.
            ",2007,"McINERNEY, Malcolm",Hong Kong,yes,no,China
"
              The Australia-China Council Churchill Fellowship to identify strategies for implementing cultural education and learning of the arts through inclusive systems for dance in Asia - China, Hong Kong, Taiwan, Singapore
            ",2007,"PHILLIPS, Amanda",Hong Kong,yes,no,China
"
              To study how policing organisations address rail related safety and security to provide an environment that gains community confidence - Russia, U.K., USA, Canada, Hong Kong
            ",2007,"STURGESS APM, Donna",Hong Kong,yes,no,China
"
              The Donald Mackay Churchill Fellowship to investigate how major sea ports manage port security relative to the International Maritime Organisation (IMO) requirements including strategies used to tackle organised crime - Hong Kong, U.K., Netherlands, USA, 
            ",2006,"ASHWORTH, Kenneth",Hong Kong,yes,no,China
"
              The Donald Mackay Churchill Fellowship to investigate how major sea ports manage port security relative to the International Maritime Organisation (IMO) requirements including strategies used to tackle organised crime - Hong Kong, U.K., Netherlands, USA, 
            ",2006,"ASHWORTH, Kenneth",,yes,no,Unknown
"
              To investigate innovative methods for supplementing water supplies, such as seawater desalination plants and wastewater recycling plants, for human consumption and/or industrial use - USA, West Indies, Spain, Singapore
            ",2006,"BRAND, Michael",West Indies,yes,no,Unknown
"
              To undertake a comparison of available and emerging technology, and of innovative care models, in providing cost effective solutions to the social and health risks taken by older people who choose to maintain independent living - USA, Canada, U.K., Irelan
            ",2006,"CARR, Trevor",Irelan,yes,no,Ireland
"
              112 Innovative Australians are now 2018 Churchill Fellows
            ",2006,"Churchill Fellowship, 2018 Announcement",NA,yes,no,Unknown
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
            ",2006,"HADDOW, Adam",Fr,yes,no,France
"
              The 40th Anniversary Churchill Fellowship (WA) to compare multi-agency services provided to children and families where the child requires a forensic interview, medical examination, legal services, counselling and family support services - USA, Canada, U.
            ",2006,"HALL, Natalie",U,yes,no,Unknown
"
              To examine culturally inclusive outreach and extension mental health initiatives to geographically dispersed migrant and refugee populations and strategies for developing the cultural competence of rurally-based mental health service providers - Canada, U
            ",2006,"HUBERT, Carol",U,yes,no,Unknown
"
              To research and document environmental art that has been successfully integrated into architecture and landscape, creating works that are potent, interpretive, informative as well as being experiential and engaging spaces - Germany, France, Italy, U.K., F
            ",2006,"LAURENCE, Janet",F,yes,no,Unknown
"
              The 40th Anniversary Churchill Fellowship (TAS) to study advances in museum diorama construction and model making techniques and materials to effectively blend historical techniques with new materials for current application - USA, U.K., Germany, Italy, A
            ",2006,"LOOKER, Brian",A,yes,no,Unknown
"
              The Bob and June Prickett Churchill Fellowship to identify successful models of organ and tissue donation and assess promotional strategies and programmes that provide support to transplant recipients, donor families and living donors - U.K., Spain, USA'
            ",2006,"McMAHON AM, Simone",USA',yes,no,USA
"
              The Peter Mitchell Churchill Fellowship to study Raptor conservation and rehabilitation techniques with emphasis on acquiring new skills in Raptor veterinary medicine and in the conservation of Raptors through education via public displays/interactions - 
            ",2006,"MERRY, Melissa",,yes,no,Unknown
"
              The Department for Community Development (WA) Churchill Fellowship to attend training seminars involving educators of severely challenged adolescents with emphasis on managing bullying, school racism, substance abuse, family crisis and challenging behavio
            ",2006,"MOTRONI, Sheona",NA,yes,no,Unknown
"
              To study missing persons cases with a focus on risk assessment models, investigation methods, missing persons procedures, and communication between law enforcement agencies and non-government organisations - USA, Canada, U.K., Netherlands, Hong Kong
            ",2006,"SAMWAYS, Mark",Hong Kong,yes,no,China
"
              To research methods used by police and emergency services authorities for the management, preparation and delivery of effective media liaison and public information functions during and immediately following terrorist attacks - Singapore, U.K., Spain, Net
            ",2006,"STANBURY, Neil",Net,yes,no,Netherlands
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate and compare emergency animal disease preparedness and response arrangements with a particular focus on how plans have evolved following a significant disease outbreak - Italy, France, U.K., USA, 
            ",2006,"TURNER, Sharon",,yes,no,Unknown
"
              The Dame Roma Mitchell Churchill Fellowship to investigate Choral Programmes and traditions established in prominent Cathedral Schools and Colleges, focusing on ideas of education integration, repertoire, musical development and ""bridging the gap"" between
            ",2005,"BARMAN, Heather",NA,yes,no,Unknown
"
              The CFA of WA / Water Corporation Churchill Fellowship to investigate alternative water sources and the latest technologies to remove contaminants for water supply applications in the drought affected South West Region of Western Australia - Singapore, Ch
            ",2005,"HEATON, Kathryn",Ch,yes,no,China
"
              To liaise with law enforcement agencies currently experiencing criminal gang problems with a view to developing bi-partisan community/policing strategies to prevent the further entrenchment of criminal gangs in Victoria - USA, Canada, UK, Hong Kong
            ",2004,"BOYLE APM, Patrick",Hong Kong,yes,no,CHina
"
              The Donald Mackay Churchill Fellowship to study approaches to people trafficking law and policy that can be applied to Australia, particularly trafficking victim support programs, law reform and co-ordination between NGO's, police and governments - Italy,
            ",2004,"COSTELLO, Georgina",,yes,no,Unknown
"
              To research the use of interactive technologies in new media performance and dance/music theatre - USA, Spain, Finland, Sweden, Germany, Netherlands, France, U.K., Japan, Indonesia, East Timor
            ",2004,"EWING, Leon",East Timor,yes,no,Timor-Leste
"
              To establish links with contemporary opera companies and other professional artistic organisations to facilitate international touring opportunities, foster co-productions and create mentorship and exchange programs - Switzerland, Austria, Germany, Nether
            ",2004,"KOUKIAS, Constantine",Nether,yes,no,Netherlands
"
              The Percy Baxter Churchill Fellowship to evaluate models of dispute resolution in child protection matters and to determine the relevance and applicability of those models to the Australian judicial child protection system - U.K., USA, Switzerland, Belgiu
            ",2004,"MAUGHAN, Jeanette",Belgiu,yes,no,Belgium
"
              The Gilbert Spottiswood Churchill Fellowship to research leading dance/theatre companies that specialise in work for people with disabilities, particularly theatrical practice for the inclusion of disabled artists in mainstream theatre - U.K., Belgium, Fr
            ",2004,"MELLIS, Gaelle",Fr,yes,no,France
"
              The Blakeney Millar Foundation Churchill Fellowship to assess community engagement in recreation developments on public lands with particular reference to sustainable multiple use walking tracks in natural environs bordering urban communities - USA, Canad
            ",2004,"POPE, Matthew",Canad,yes,no,Canada
"
              To examine how leadership development programs attain a high level of people management skills, including supportive leadership, that builds community relations and achieves the organisational outcomes being sought - U.K., USA, Canada, New Zealand, Hong K
            ",2004,"SCOTT, Kevin",Hong K,yes,no,China
"
              To examine the command, control and tactical strategies used to manage and resolve high risk and terrorist incidents to ensure successful outcomes whilst minimising the risk to the community and responding police - Israel, U.K., Ireland, Spain, USA, Hong 
            ",2004,"WAUGH, Robert",Hong,yes,no,China
"
              The Gallaugher Bequest Churchill Fellowship to study juvenile justice programs and initiatives in the areas of restorative justice, delinquency prevention, early intervention strategies and juvenile detention centres that are addressing contemporary youth
            ",2003,"FASSINA, Julia",NA,yes,no,Unknown
"
              To investigate appeal mechanisms available to asylum seekers with the aim of improving their access to the Australian legal system with emphasis on statutory and convention interpretation, research methodology and procedural fairness principles - Switzerl
            ",2003,"KARLSEN, Elibritt",Switzerl,yes,no,Switzerland
"
              The Blakeney Millar Foundation Churchill Fellowship to research the operation and marketing/promotion of visitor tourist centres and national parks with emphasis on signage, interpretation, visitor and recreational access, retail and accommodation venture
            ",2003,"LEES, Mark",NA,yes,no,Unknown
"
              The Jack Green Churchill Fellowship to study a variety of feeding regimes within the international dairy industry, particularly processes employed to minimise the environmental (and other) effects of highly intensive dairying systems - Netherlands, Italy,
            ",2003,"LISLE (NOW YOUNG), Anthea",,yes,no,Unknown
"
              To develop procedures used when dealing with persons suffering from mental illness with emphasis on ensuring ethical, cost effective use of resources and preserving the safety and dignity of those affected by this growing illness - New Zealand, USA, Canad
            ",2003,"LOUGHLAND, Paul",Canad,yes,no,Canada
"
              The Swire Group Churchill Fellowship to investigate the commercial and technical feasibility of supplying rural and remote communities with renewable energy, particularly bioenergy opportunities as a combined management tool for woody shrub invasion and e
            ",2003,"MAROULIS, Phoebe",NA,yes,no,Unknown
"
              To identify those aspects of religious diversity which have a direct relevance to operational policing in an increasingly diverse society with the aim of helping police become more responsive to individual, significant religious issues - Sweden, Germany, 
            ",2003,"PILMER, James",,yes,no,Unknown
"
              To examine how communities, governments and agencies are dealing with the allocation, transfer and rehabilitation of scarce water resources in the context of escalating demands from competing user groups and declining river health - USA, U.K., Spain, Swit
            ",2003,"QUINN, Peter",Swit,yes,no,Switzerland
"
              To study intervention programs for the management of aggression in boys and young men (10 - 25 years) - USA, Canada, Netherlands, U.K., Ireland
            ",2003,"SHANAHAN, Richard",25 years) - USA,yes,no,USA
"
              To investigate new developments in desalination and wastewater recovery membrane treatment techniques, particularly focusing on minimising energy consumption, energy recovery systems and chemical use and process waste reduction - USA, Canada, United Arab 
            ",2003,"TARR, Richard",United Arab,yes,no,United Arab Emirates
"
              To study skills programs, advances and innovations in outdoor education courses at High Ropes Schools and other institutions aimed at the education of the ""self"" through adventure oriented experiences, particularly those which deal with ""at risk"" youth - 
            ",2003,"TAYLOR, David",,yes,no,Unknown
"
              The Swire Group Churchill Fellowship to study management systems that optimise the location of plant species within landscapes (including within paddocks) to improve animal production, product quality, water use and minimise the loss of nutrients to the e
            ",2003,"THOMPSON, Andrew",NA,yes,no,Unknown
"
              The James Love Churchill Fellowship to study jewellery design for application to uniquely Australian gems and materials such as opals, argyle diamonds, Broome pearls and sapphires in settings incorporating emu leather, crocodile and barramundi skin - USA,
            ",2003,"TULLY, Bruce",,yes,no,Unknown
"
              To study the holistic delivery of police service to rural communities, with emphasis on training, practical performance management, support services, utilisation of volunteers and the promotion of country policing as a positive career option for police officers - U.K., Canada, USA

            ",2002,"ADCOCK, Graeme",NA,yes,no,Unknown
"
              To study the latest sustainable technology for growing custard apples and the related cherimoya from the world's biggest three producers of these crops, and access germplasm for use in our Australian custard apple breeding programme - South America, Spain
            ",2002,"BROADLEY, Roger",South America,yes,no,Unknown
"
              The Sir Vincent Fairfax Churchill Fellowship to improve community and government knowledge of Macular Degeneration (MD), particularly programmes which promote the quality of life of patients and carers, and educate and assist in the prevention and control
            ",2002,"Curran, Zenda",NA,yes,no,Unknown
"
              To investigate structures, systems, programmes and courses that produce or enhance Environmental Leadership - U.K., Netherlands, Frankfurt, Switzerland
            ",2002,"GRANT, Jim",Frankfurt,yes,no,Germany
"
              To investigate and evaluate the suitability of educational programmes and professional services provided to support individuals with dyslexia, their families and teachers by non-profit organisations - U.K., USA, Canada (Partially sponsored by Department o
            ",2002,"HAMMOND, Lorraine",Canada (Partially sponsored by Department o,yes,no,Canada
"
              To study law enforcement based strategies and programmes that are in place to prevent and reduce the increasing incidence of fatalities and injury accidents involving heavy vehicles with emphasis on community policing and technology - New Zealand, USA, Ca
            ",2002,"KIRKPATRICK, Cameron",Ca,yes,no,Canada
"
              To examine the implementation and results of government action in a situation where a government policy of reduction in native timber harvesting has brought about large scale economic and social restructuring of regional communities - Canada, USA, New Zea
            ",2002,"LONEY, John",New Zea,yes,no,New Zealand
"
              The James Love Churchill Fellowship to explore the conceptual structure of a future school and the role of a Principal in an online environment with emphasis on the potential social impact of online learning communities in rural and remote areas - USA, Ca
            ",2002,"McKAY, Ian",Ca,yes,no,Canada
"
              The Rotary Club of Canberra Churchill Fellowship to study the operation of projects designed to develop and support young social entrepreneurs in order to implement a Community Action Centre that will provide a centralised facility for projects whose work
            ",2002,"MELLIS, Gregory",NA,yes,no,Unknown
"
              To examine the role of registered nurses in child protection multidisciplinary teams with particular focus on child sexual abuse nurse examinations, and to assess the educational programmes available for nurses wishing to specialise in the area of child p
            ",2002,"MURPHY, Annette",NA,yes,no,Unknown
"
              To research theory and practices associated with the development of centres of excellence for early childhood education and care involving families, children and the community to improve outcomes for children's behaviour, learning and health in later life
            ",2002,"OWENS, Margaret",NA,yes,no,Unknown
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to study person-centred ways of caring for people with dementia with emphasis on differing models of care, physical environments, activities and measurement tools for promoting wellbeing - USA, Canada, 
            ",2002,"PENNING, Carol",,yes,no,Unknown
"
              To study contemporary techniques for working in community arts with a focus on practices which promote art as healing and which concentrate on the development of personal creative expression as a means of blocking chronic pain and increasing the quality o
            ",2002,"PREST AM, Cedar",NA,yes,no,Unknown
"
              To undertake a study of retail civil recovery programmes and legislation - NZ, USA, U.K.
            ",2002,"RINGIN, Renata",NZ,yes,no,New Zealand
"
              To promote and investigate strategies to develop the literacy skills of deaf students within a bilingual (Auslan/English) P - 12 educational setting - USA
            ",2002,"REES, Julie",12 educational setting - USA,yes,no,USA
"
              To examine the involvement of the community in planning for and the management of protected areas -USA, Canada
            ",2002,"ROGERS, Carla-Maree",NA,yes,no,Unknown
"
              To undertake advanced studies in transcultural mental health education and cross cultural family therapy -Canada, Italy
            ",2002,"SENEDIAK, Christine",NA,yes,no,Unknown
"
              The Swire Group Churchill Fellowship to gain a better understanding of European cotton production and future technology, management options in regard to GMO and its implications for Australian cotton in the long-term - Belgium, Spain, Greece,
            ",2002,"WHITE, Katrina",,yes,no,Unknown
"
              To study programmes aimed at increasing the number of young people who choose to stay in, or enter into, agriculture as a career alternative as well as identifying techniques for capacity building and promoting self determination and networking - USA, Can
            ",2002,"WILKES, Belinda",Can,yes,no,Canada
"
              To investigate models of providing psycho-social and counselling support to rurally based patients with end stage HIV/AIDS - Spain, UK, USA


            ",2001,"BRAMWELL, Michael",NA,yes,no,Unknown
"
              To investigate community, government, academic and independent research organisations where models, tools and policy development programmes are centred on resource recovery, waste avoidance and community enterprise development - UK, Germany, Belgium, Aust
            ",2001,"BUCHHORN, Miriam",Aust,yes,no,Austria
"
              The Family and Children's Services WA Churchill Fellowship to study effective intervention in breaking the intergenerational drugs/poverty cycle and to gain further knowledge on the connection between parental drug use, economic poverty and child abuse - 
            ",2001,"CAMINS, Kate",,yes,no,Unknown
"
              To examine beef marketing, feeding and breeding - Japan, Korea, Philippines, Malaysia, Indonesia
            ",2001,"DENT, Robert",Korea,yes,no,South Korea
"
              To study the integration of light agricultural aircraft into bushfire suppression operations - USA, South America, Canada.
            ",2001,"DICKER, Ian",South America,yes,no,Unknown
"
              To examine the implications of government and non-government funding of universities - USA, UK, Italy, France, Hong Kong
            ",2001,"GLENN, Brok",Hong Kong,yes,no,China
"
              The Swire Group Churchill Fellowship to investigate the latest trends and methods in the feedlotting of beef and lamb, with particular emphasis on environmental sustainability, nutritional supplements and disease control - USA, UK, France, Germany, Middle
            ",2001,"GRANT, Anthony",Middle,yes,no,Unknown
"
              The A.V. Jennings Churchill Fellowship to investigate established community based sustainable urban development which can be applied in the planning, design and construction of public housing projects in Queensland - Sweden, Denmark, Netherlands, Germany,
            ",2001,"HAMMONDS, Andrew",,yes,no,Unknown
"
              To forge alliances and investigate strategies to support the study of Asian cultures in countries with similar education structures and needs to Australia - Korea, Japan, USA, Canada, UK
            ",2001,"KIRBY, Kathleen",Korea,yes,no,South Korea
"
              The Sir Vincent Fairfax Churchill Fellowship to investigate professional development and training, occupational health and safety, workplace design, organisational and management attitudinal change and workplace reform issues relating to the needs of olde
            ",2001,"KWIATKOWSKI, Melanja",NA,yes,no,Unknown
"
              The Percy Baxter Churchill Fellowship to evaluate current techniques in the detection and fingerprinting of major bacterial species which cause food poisoning with a view to incorporating the most relevant techniques as routine laboratory tests - USA, UK,
            ",2001,"LIGHTFOOT, Diane",,yes,no,Unknown
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to research key issues for the further development of mentoring programmes for students at risk, particularly selection and recruitment of mentors, training programmes and the creation 
            ",2001,"LOW, William",NA,yes,no,Unknown
"
              The Kondinin Group Whittington Churchill Fellowship to investigate ways in which grain growers can improve profitability through innovative marketing, increased involvement in plant variety development,  further processing of crops at production source an
            ",2001,"MATTHEWS, David",NA,yes,no,Unknown
"
              To investigate the on-farm/educational delivery of vocational training in aquaculture - USA, Canada, UK, New Zealand, Hong Kong
            ",2001,"NIELSEN, Ian",Hong Kong,yes,no,China
"
              The James Love Churchill Fellowship to assess the CAMPFIRE model which involves rural communities in conservation and development by returning to them the stewardship of their natural resources making wildlife a valuable resource - South Africa, Namibia, 
            ",2001,"NURSEY-BRAY, Melissa",,yes,no,Unknown
"
              You could spend up to 8 weeks travelling the globe to investigate a topic you are passionate about, whilst gaining the international expertise you require to create or affect change for a better Australia! 
            ",2001,"open, Applications",NA,yes,no,Unknown
"
              The Stuart and Norma Leslie Churchill Fellowship to investigate training methods, academic educational structure and accommodation options of first class ballet schools to facilitate the implementation of a full-time Junior School at the Australian Ballet
            ",2001,"ROWLES, Leigh",NA,yes,no,Unknown
"
              To study security measures to maintain the safety and integrity of court staff, clients and its associated environment thus ensuring the uninterrupted functioning of the independent judicial process - USA, Canada, Ireland, Italy, Israel, Hong Kong, UK
            ",2001,"ROWLEY, Colin",Hong Kong,yes,no,China
"
              The Donald Mackay Churchill Fellowship to review Asset Confiscation (Proceeds of Crime) Management Models in international police jurisdictions in order to identify an effective model for implementation in the Australian criminal justice system - Canada, 
            ",2001,"SHERIDAN, Kevin",,yes,no,Unknown
"
              The Waterwatch Australia Churchill Fellowship to enhance the impact of Waterwatch and river health monitoring activities, particularly innovative partnerships between the community, government and industry that have led to good river health outcomes - UK,
            ",2001,"STOCKWELL, Brian",,yes,no,Unknown
"
              To enable completion of a work of national biography ""Lives of the Australian Chief Justices (1824-1900)"" - UK, Bermuda, St Kitts
            ",2000,"BENNETT, John",St Kitts,yes,no,Trinidad
