description,year,name,region,on_churchill,on_map,region_edited
"
              The Swire Group Churchill Fellowship to study the reduction of insecticide use in crop production by use of native egg parasites with particular reference to the cotton industry - Netherlands, Switzerland, Canada, USA, Germany
            ",1991,"SCHOLZ, Bradley",USA,yes,yes,yes
"
              The Swire Group Churchill Fellowship to study the reduction of insecticide use in crop production by use of native egg parasites with particular reference to the cotton industry - Netherlands, Switzerland, Canada, USA, Germany
            ",1991,"SCHOLZ, Bradley",Germany,yes,yes,yes
"
              To investigate asset confiscation legislation and methods - USA, UK, France, Switzerland
            ",1991,"SCOTT, Clive",USA,yes,yes,yes
"
              To investigate asset confiscation legislation and methods - USA, UK, France, Switzerland
            ",1991,"SCOTT, Clive",UK,yes,yes,yes
"
              To investigate asset confiscation legislation and methods - USA, UK, France, Switzerland
            ",1991,"SCOTT, Clive",France,yes,yes,yes
"
              To investigate asset confiscation legislation and methods - USA, UK, France, Switzerland
            ",1991,"SCOTT, Clive",Switzerland,yes,yes,yes
"
              To study two major and innovative projects providing high quality educational opportunities to remote, isolated, disadvantaged students - Canada, UK
            ",1991,"SHAW, Jeffrey",Canada,yes,yes,yes
"
              To study two major and innovative projects providing high quality educational opportunities to remote, isolated, disadvantaged students - Canada, UK
            ",1991,"SHAW, Jeffrey",UK,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to study the methods used by law enforcement agencies in investigating organised crime with particular reference to tracking and seizing the benefits of crime - USA
            ",1991,"SKILLEN, Lesley",USA,yes,yes,yes
"
              To investigate current methods of wildlife research and management in world heritage areas and biosphere reserves - Argentina, Chile, Canada, USA
            ",1991,"SMITH, Steven",Argentina,yes,yes,yes
"
              To investigate current methods of wildlife research and management in world heritage areas and biosphere reserves - Argentina, Chile, Canada, USA
            ",1991,"SMITH, Steven",Chile,yes,yes,yes
"
              To investigate current methods of wildlife research and management in world heritage areas and biosphere reserves - Argentina, Chile, Canada, USA
            ",1991,"SMITH, Steven",Canada,yes,yes,yes
"
              To investigate current methods of wildlife research and management in world heritage areas and biosphere reserves - Argentina, Chile, Canada, USA
            ",1991,"SMITH, Steven",USA,yes,yes,yes
"
              To study child abuse prevention programmes of the USA  and to assess their applicability for the Australian community - USA
            ",1991,"SPALL, Pamela",USA,yes,yes,yes
"
              To meet and observe key researchers and practitioners involved in teaching critical thinking in the USA in order to develop a programme for the teaching of thinking approaches in Australia - USA
            ",1991,"STEER, Darrel",USA,yes,yes,yes
"
              To gain practical experience and investigate methods of feeding and managing medium size herds to maximise cost-effective milk production on a year round basis, particularly in the sub-tropics - USA
            ",1991,"SWEENEY, Winston",USA,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to evaluate rehabilitation programmes that enhance early discharge from hospital and an early return to full functional capacity of the burn patient - Canada, USA
            ",1991,"TAIT (now Finlay), Nancy",Canada,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to evaluate rehabilitation programmes that enhance early discharge from hospital and an early return to full functional capacity of the burn patient - Canada, USA
            ",1991,"TAIT (now Finlay), Nancy",USA,yes,yes,yes
"
              To examine sheep milking management and cheese production techniques - France, Greece, Israel, Switzerland, Italy, UK
            ",1991,"TEMBY, Ian (Toll)",France,yes,yes,yes
"
              To examine sheep milking management and cheese production techniques - France, Greece, Israel, Switzerland, Italy, UK
            ",1991,"TEMBY, Ian (Toll)",Greece,yes,yes,yes
"
              To examine sheep milking management and cheese production techniques - France, Greece, Israel, Switzerland, Italy, UK
            ",1991,"TEMBY, Ian (Toll)",Israel,yes,yes,yes
"
              To examine sheep milking management and cheese production techniques - France, Greece, Israel, Switzerland, Italy, UK
            ",1991,"TEMBY, Ian (Toll)",Switzerland,yes,yes,yes
"
              To examine sheep milking management and cheese production techniques - France, Greece, Israel, Switzerland, Italy, UK
            ",1991,"TEMBY, Ian (Toll)",Italy,yes,yes,yes
"
              To examine sheep milking management and cheese production techniques - France, Greece, Israel, Switzerland, Italy, UK
            ",1991,"TEMBY, Ian (Toll)",UK,yes,yes,yes
"
              To study the techniques applied in tree breeding programmes - South Africa, Brazil, USA
            ",1991,"TOON, Paul",South Africa,yes,yes,yes
"
              To study the techniques applied in tree breeding programmes - South Africa, Brazil, USA
            ",1991,"TOON, Paul",Brazil,yes,yes,yes
"
              To study the techniques applied in tree breeding programmes - South Africa, Brazil, USA
            ",1991,"TOON, Paul",USA,yes,yes,yes
"
              The Gallaugher Bequest Churchill Fellowship to undertake study of urban architectural conservation with particular reference to the integration of contemporary architecture into historic urban environments - Canada, USA, France, Italy, UK
            ",1991,"WADE, Neil",Canada,yes,yes,yes
"
              The Gallaugher Bequest Churchill Fellowship to undertake study of urban architectural conservation with particular reference to the integration of contemporary architecture into historic urban environments - Canada, USA, France, Italy, UK
            ",1991,"WADE, Neil",USA,yes,yes,yes
"
              The Gallaugher Bequest Churchill Fellowship to undertake study of urban architectural conservation with particular reference to the integration of contemporary architecture into historic urban environments - Canada, USA, France, Italy, UK
            ",1991,"WADE, Neil",France,yes,yes,yes
"
              The Gallaugher Bequest Churchill Fellowship to undertake study of urban architectural conservation with particular reference to the integration of contemporary architecture into historic urban environments - Canada, USA, France, Italy, UK
            ",1991,"WADE, Neil",Italy,yes,yes,yes
"
              The Gallaugher Bequest Churchill Fellowship to undertake study of urban architectural conservation with particular reference to the integration of contemporary architecture into historic urban environments - Canada, USA, France, Italy, UK
            ",1991,"WADE, Neil",UK,yes,yes,yes
"
              To study the design of environmental provision and its effect on children's learning through play, with particular emphasis on the early childhood years - USA
            ",1991,"WALSH, Prudence",USA,yes,yes,yes
"
              To observe and investigate current policy, practice, programming and research in hospital schools and child-life departments within major paediatric hospitals - USA, Canada, UK
            ",1991,"WHITE, Margaret",USA,yes,yes,yes
"
              To observe and investigate current policy, practice, programming and research in hospital schools and child-life departments within major paediatric hospitals - USA, Canada, UK
            ",1991,"WHITE, Margaret",Canada,yes,yes,yes
"
              To observe and investigate current policy, practice, programming and research in hospital schools and child-life departments within major paediatric hospitals - USA, Canada, UK
            ",1991,"WHITE, Margaret",UK,yes,yes,yes
"
              To research community based projects designed to support isolated young people - USA, UK, Canada, Sweden
            ",1991,"WHITE, David",USA,yes,yes,yes
"
              To research community based projects designed to support isolated young people - USA, UK, Canada, Sweden
            ",1991,"WHITE, David",UK,yes,yes,yes
"
              To research community based projects designed to support isolated young people - USA, UK, Canada, Sweden
            ",1991,"WHITE, David",Canada,yes,yes,yes
"
              To research community based projects designed to support isolated young people - USA, UK, Canada, Sweden
            ",1991,"WHITE, David",Sweden,yes,yes,yes
"
              To investigate staff training in development disability services and to identify those models of staff training which could be applicable to the services in NSW - USA, Canada
            ",1991,"WILDE (Now Cavanagh), Kathleen",USA,yes,yes,yes
"
              To investigate staff training in development disability services and to identify those models of staff training which could be applicable to the services in NSW - USA, Canada
            ",1991,"WILDE (Now Cavanagh), Kathleen",Canada,yes,yes,yes
"
              To study the development and integration of low cost, environmentally safe methods for the control of weeds which threaten rangeland productivity, land care and conservation of natural resources - USA
            ",1991,"WILSON, Bruce",USA,yes,yes,yes
"
              To study counter-disaster and civil defence practices - Hong Kong, USA, Canada, UK
            ",1991,"WINDSOR, Allan",USA,yes,yes,yes
"
              To study counter-disaster and civil defence practices - Hong Kong, USA, Canada, UK
            ",1991,"WINDSOR, Allan",Canada,yes,yes,yes
"
              To study counter-disaster and civil defence practices - Hong Kong, USA, Canada, UK
            ",1991,"WINDSOR, Allan",UK,yes,yes,yes
"
              To visit national broadcasters to study science broadcasting, particularly for a youth audience - Denmark, Sweden, Finland
            ",1991,"WOODWARD, Linden",Denmark,yes,yes,yes
"
              To visit national broadcasters to study science broadcasting, particularly for a youth audience - Denmark, Sweden, Finland
            ",1991,"WOODWARD, Linden",Sweden,yes,yes,yes
"
              To visit national broadcasters to study science broadcasting, particularly for a youth audience - Denmark, Sweden, Finland
            ",1991,"WOODWARD, Linden",Finland,yes,yes,yes
"
              To teach music to children using the recorder - UK
            ",1991,"WRIGHT OAM, Margaret",UK,yes,yes,yes
"
              To investigate the philosophy and methods used in schools catering for students with behavioural problems - Canada
            ",1991,"YOUNG, Peter",Canada,yes,yes,yes
"
              To undertake study in a series of courses relating to investigation of motor vehicle collisions to enable the establishment of similar courses at the NSW Police Academy - USA, UK
            ",1990,"ADAMS, Mark",USA,yes,yes,yes
"
              To undertake study in a series of courses relating to investigation of motor vehicle collisions to enable the establishment of similar courses at the NSW Police Academy - USA, UK
            ",1990,"ADAMS, Mark",UK,yes,yes,yes
"
              To gain advanced information on techniques for community emergency preparedness - USA, Canada, UK, Switzerland
            ",1990,"AUSTIN, Jeffrey",USA,yes,yes,yes
"
              To gain advanced information on techniques for community emergency preparedness - USA, Canada, UK, Switzerland
            ",1990,"AUSTIN, Jeffrey",Canada,yes,yes,yes
"
              To gain advanced information on techniques for community emergency preparedness - USA, Canada, UK, Switzerland
            ",1990,"AUSTIN, Jeffrey",UK,yes,yes,yes
"
              To gain advanced information on techniques for community emergency preparedness - USA, Canada, UK, Switzerland
            ",1990,"AUSTIN, Jeffrey",Switzerland,yes,yes,yes
"
              To study the various methods of harvesting pollen from trees, grasses and weeds. The methods will be evaluated for adaptability to Australian flora and climate - USA, Sweden, Italy
            ",1990,"BASS, Diana",USA,yes,yes,yes
"
              To study the various methods of harvesting pollen from trees, grasses and weeds. The methods will be evaluated for adaptability to Australian flora and climate - USA, Sweden, Italy
            ",1990,"BASS, Diana",Sweden,yes,yes,yes
"
              To study the various methods of harvesting pollen from trees, grasses and weeds. The methods will be evaluated for adaptability to Australian flora and climate - USA, Sweden, Italy
            ",1990,"BASS, Diana",Italy,yes,yes,yes
"
              To undertake a thorough investigation of woodwind reed production in Europe, with a view to establishing an Australian industry - France, Spain, West Germany
            ",1990,"BEARE, Michael",France,yes,yes,yes
"
              To undertake a thorough investigation of woodwind reed production in Europe, with a view to establishing an Australian industry - France, Spain, West Germany
            ",1990,"BEARE, Michael",Spain,yes,yes,yes
"
              The Jack Sheeran Churchill Fellowship to study the production methods and ingredient technology of frozen doughs - USA
            ",1990,"BRINKLEY, William",USA,yes,yes,yes
"
              To research inland aquaculture development using recirculating water systems, identify their relevance to Australian production techniques and asses the value added principles being used to maximise returns to producers - Canada, USA
            ",1990,"CAMERON, Andrew",Canada,yes,yes,yes
"
              To research inland aquaculture development using recirculating water systems, identify their relevance to Australian production techniques and asses the value added principles being used to maximise returns to producers - Canada, USA
            ",1990,"CAMERON, Andrew",USA,yes,yes,yes
"
              To study groundwater and surface water interaction developments in Europe with particular reference to contamination and salinity movement through the stream-aquifer interface - Denmark, Netherlands, Israel
            ",1990,"CARR, Robert",Denmark,yes,yes,yes
"
              To study groundwater and surface water interaction developments in Europe with particular reference to contamination and salinity movement through the stream-aquifer interface - Denmark, Netherlands, Israel
            ",1990,"CARR, Robert",Netherlands,yes,yes,yes
"
              To study groundwater and surface water interaction developments in Europe with particular reference to contamination and salinity movement through the stream-aquifer interface - Denmark, Netherlands, Israel
            ",1990,"CARR, Robert",Israel,yes,yes,yes
"
              To observe the implementation of innovative programmes which have been developed in response to research identifying the incidence of abuse of children in substitute care - Canada, USA
            ",1990,"CAVANAGH OAM, Joanne",Canada,yes,yes,yes
"
              To observe the implementation of innovative programmes which have been developed in response to research identifying the incidence of abuse of children in substitute care - Canada, USA
            ",1990,"CAVANAGH OAM, Joanne",USA,yes,yes,yes
"
              To study the latest principles and practices in planning and management of scenic values of native forest lands, as well as forest visual management for timber harvests and roads in natural areas - USA
            ",1990,"CHETWYND, Bruce",USA,yes,yes,yes
"
              To study the techniques, teaching and approach to aeromedical rescue operations in order to improve Australian emergency medical services - UK, France, Germany, Switzerland, Italy
            ",1990,"COHEN, Adrian",UK,yes,yes,yes
"
              To study the techniques, teaching and approach to aeromedical rescue operations in order to improve Australian emergency medical services - UK, France, Germany, Switzerland, Italy
            ",1990,"COHEN, Adrian",France,yes,yes,yes
"
              To study the techniques, teaching and approach to aeromedical rescue operations in order to improve Australian emergency medical services - UK, France, Germany, Switzerland, Italy
            ",1990,"COHEN, Adrian",Germany,yes,yes,yes
"
              To study the techniques, teaching and approach to aeromedical rescue operations in order to improve Australian emergency medical services - UK, France, Germany, Switzerland, Italy
            ",1990,"COHEN, Adrian",Switzerland,yes,yes,yes
"
              To study the techniques, teaching and approach to aeromedical rescue operations in order to improve Australian emergency medical services - UK, France, Germany, Switzerland, Italy
            ",1990,"COHEN, Adrian",Italy,yes,yes,yes
"
              To study wood turning and particularly hollow-turning with world leaders in this craft - USA
            ",1990,"COLLINS, Gregory",USA,yes,yes,yes
"
              To investigate new technology in theatre design, particularly lighting and scenic projection and the training methods required to embrace the new technology - Czech Republic, Germany, USA
            ",1990,"COOKE, Peter",Czech Republic,yes,yes,yes
"
              To investigate new technology in theatre design, particularly lighting and scenic projection and the training methods required to embrace the new technology - Czech Republic, Germany, USA
            ",1990,"COOKE, Peter",Germany,yes,yes,yes
"
              To investigate new technology in theatre design, particularly lighting and scenic projection and the training methods required to embrace the new technology - Czech Republic, Germany, USA
            ",1990,"COOKE, Peter",USA,yes,yes,yes
"
              To visit land conservation and rangeland management projects which use assisted re-vegetation - USA
            ",1990,"COVENTRY AO, David",USA,yes,yes,yes
"
              The Grain Pool of WA Churchill Fellowship to investigate methods of recombinant DNA technology for use in the development of lupins resistant to certain virus diseases that currently threaten the Australian lupin industry - USA
            ",1990,"COWLING, Wallace",USA,yes,yes,yes
"
              To investigate organisations involved with providing art programmes for people with an intellectual disability, with the aim of extending the range of programmes available in Australia - Belgium, UK
            ",1990,"DAYE, Cheryl",Belgium,yes,yes,yes
"
              To investigate organisations involved with providing art programmes for people with an intellectual disability, with the aim of extending the range of programmes available in Australia - Belgium, UK
            ",1990,"DAYE, Cheryl",UK,yes,yes,yes
"
              To study development of commercial rabbit farming overseas with particular reference to environmental impact, genetics, nutrition and marketing - USA, UK, Denmark, France, Spain
            ",1990,"DUNN, Jennifer",USA,yes,yes,yes
"
              To study development of commercial rabbit farming overseas with particular reference to environmental impact, genetics, nutrition and marketing - USA, UK, Denmark, France, Spain
            ",1990,"DUNN, Jennifer",UK,yes,yes,yes
"
              To study development of commercial rabbit farming overseas with particular reference to environmental impact, genetics, nutrition and marketing - USA, UK, Denmark, France, Spain
            ",1990,"DUNN, Jennifer",Denmark,yes,yes,yes
"
              To study development of commercial rabbit farming overseas with particular reference to environmental impact, genetics, nutrition and marketing - USA, UK, Denmark, France, Spain
            ",1990,"DUNN, Jennifer",France,yes,yes,yes
"
              To study development of commercial rabbit farming overseas with particular reference to environmental impact, genetics, nutrition and marketing - USA, UK, Denmark, France, Spain
            ",1990,"DUNN, Jennifer",Spain,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to undertake a course of study in French Horn at the Hochschule Fur Music in Cologne - Germany
            ",1990,"EVANS, Paul",Germany,yes,yes,yes
"
              The Percy Baxter Charitable Trust Churchill Fellowship to experience first hand and meet with the creators of programmes which provide opportunities for public involvement in environmental problems - USA, UK, Netherlands, Kenya
            ",1990,"EWING, Sarah",USA,yes,yes,yes
"
              The Percy Baxter Charitable Trust Churchill Fellowship to experience first hand and meet with the creators of programmes which provide opportunities for public involvement in environmental problems - USA, UK, Netherlands, Kenya
            ",1990,"EWING, Sarah",UK,yes,yes,yes
"
              The Percy Baxter Charitable Trust Churchill Fellowship to experience first hand and meet with the creators of programmes which provide opportunities for public involvement in environmental problems - USA, UK, Netherlands, Kenya
            ",1990,"EWING, Sarah",Netherlands,yes,yes,yes
"
              The Percy Baxter Charitable Trust Churchill Fellowship to experience first hand and meet with the creators of programmes which provide opportunities for public involvement in environmental problems - USA, UK, Netherlands, Kenya
            ",1990,"EWING, Sarah",Kenya,yes,yes,yes
"
              To study the Italian Operatic Repertiore - Italy, UK
            ",1990,"FABRIS, Francesco",Italy,yes,yes,yes
